D,avg_yr_l,avg_yr_h,avg_wi,avg_sp,avg_su,avg_fa
CUN,72,86,75,81,83,77
TPA,66,81,64,78,82,70
CUC,75,88,80,82,84,80
COR,54,75,73,59,56,70
DEN,39,64,36,58,70,41
LAS,59,81,55,78,88,59
ROS,55,74,74,58,55,70
SXM,78,86,79,82,84,82
MTY,64,84,65,80,83,67
BLA,79,88,82,84,85,83
POS,74,88,80,82,82,81
SFO,52,65,53,59,64,56
BOS,45,59,34,59,70,45
KIN,78,87,80,83,85,82
LIR,66,87,81,76,74,77
ORD,43,59,31,60,71,42
PBC,49,73,58,64,63,58
CNF,63,80,74,69,68,73
GDL,53,81,62,72,70,63
IAD,46,66,39,64,74,47
VCP,62,81,76,69,68,74
NAS,73,84,73,80,84,77
AUA,79,88,82,84,85,83
PBM,77,90,81,84,86,83
ATL,55,72,50,71,78,55
PAP,77,90,81,84,86,83
MCO,64,82,64,77,82,69
POA,61,77,77,64,62,72
PTY,75,88,82,82,81,80
SDQ,72,87,76,80,82,79
MEX,52,75,60,67,65,60
CUR,79,88,81,84,85,83
FLL,72,83,70,79,84,75
PEI,65,79,72,72,72,71
SSA,75,84,82,80,77,80
BGA,79,88,82,84,85,83
PVR,70,85,71,78,83,78
SJU,75,86,78,81,83,80
VSA,72,89,77,84,83,78
STI,70,87,75,80,82,78
BGI,79,88,82,84,85,83
MAO,75,89,81,81,83,82
REC,76,86,84,81,79,82
YUL,38,53,22,56,67,36
BZE,75,86,77,83,83,78
SMR,78,90,84,85,84,83
ADZ,79,85,81,82,83,82
BSB,62,82,74,70,70,74
MBJ,76,86,78,82,83,81
SAL,74,91,82,83,82,82
CTG,78,87,81,83,84,82
SLA,53,74,70,58,57,69
XPL,67,87,76,80,78,74
MSY,62,78,58,76,82,64
AXM,79,88,82,84,85,83
PUJ,75,85,78,81,83,80
GUA,53,81,62,72,70,63
TGU,63,82,70,75,74,70
SAP,72,88,77,83,82,78
JFK,49,62,38,63,74,49
LAX,57,75,60,67,74,63
MIA,71,83,71,79,83,75
ASU,66,83,81,70,68,78
VVI,67,83,78,72,72,78
GEO,75,85,79,80,82,81
UIO,48,65,56,57,57,57
GYE,73,85,81,80,77,78
HAV,70,84,72,79,82,76
SNU,67,84,72,77,80,74
HOG,70,86,75,80,82,77
EZE,58,70,74,59,55,68
MDZ,53,74,74,55,52,71
YYZ,41,54,27,55,67,40
LIM,63,73,74,68,63,68
CIX,66,80,79,73,68,71
IQT,73,88,80,80,80,81
BOG,47,65,56,57,55,56
MDE,63,78,70,71,70,70
CLO,66,84,75,75,75,74
BAQ,77,88,81,84,83,82
CCS,66,81,72,75,74,73
MAR,78,91,83,85,86,83
VLN,70,88,80,80,77,79
GIG,71,82,81,75,72,77
GRU,63,77,75,68,66,72
FOR,77,86,82,81,81,82
SJO,64,78,72,72,71,70
MGA,73,90,81,84,82,80
MVD,55,69,71,58,54,66
SCL,47,73,70,55,52,65
DAV,74,88,82,82,80,79
